TEAM_ID,TEAM_NAME,SORT_ORDER,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612740,New Orleans Pelicans,1,82,0-2 Feet - Very Tight,0.076,257,542,0.474,0.483,0.073,247,522,0.473,0.003,10,20,0.5
1610612740,New Orleans Pelicans,2,82,2-4 Feet - Tight,0.441,1687,3162,0.534,0.543,0.412,1625,2952,0.55,0.029,62,210,0.295
1610612740,New Orleans Pelicans,3,82,4-6 Feet - Open,0.243,799,1745,0.458,0.534,0.138,534,987,0.541,0.106,265,758,0.35
1610612740,New Orleans Pelicans,4,82,6+ Feet - Wide Open,0.24,703,1724,0.408,0.571,0.034,141,245,0.576,0.206,562,1479,0.38
