TEAM_ID,TEAM_NAME,SORT_ORDER,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612740,New Orleans Pelicans,1,82,Totals,1.0,3446,7173,0.48,0.543,0.656,2547,4706,0.541,0.344,899,2467,0.364
1610612740,New Orleans Pelicans,2,82,Catch and Shoot,0.308,822,2211,0.372,0.539,0.03,81,216,0.375,0.278,741,1995,0.371
1610612740,New Orleans Pelicans,3,82,Pullups,0.215,616,1541,0.4,0.45,0.151,462,1083,0.427,0.064,154,458,0.336
1610612740,New Orleans Pelicans,4,82,Less than 10 ft,0.47,1987,3368,0.59,0.59,0.47,1987,3368,0.59,0.0,0,0,
